experiment_id,scenario_id,instance_size_level,customer_count,technician_count,time_horizon_minutes,demand_density_level,demand_density_score,geographic_spread,delay_family_id,uses_travel_delay,uses_service_delay,creates_reassignment_opportunity,severity_id,nominal_delay_minutes,severity_score,policy_id,policy_family,policy_implementation_status,replication_id,random_seed,planned_outputs,scientific_purpose,status
size_small_density_sparse_delay_travel_delay_only_severity_moderate_policy_threshold_delay_replanning_policy_v1_replication_02,size_small_density_sparse_delay_travel_delay_only_severity_moderate,small,10,2,480,sparse,1,wide,travel_delay_only,yes,no,no,moderate,35,2,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,2,202,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, travel_delay_only perturbations, and moderate delay severity.",planned
size_small_density_sparse_delay_travel_delay_only_severity_moderate_policy_threshold_delay_replanning_policy_v1_replication_03,size_small_density_sparse_delay_travel_delay_only_severity_moderate,small,10,2,480,sparse,1,wide,travel_delay_only,yes,no,no,moderate,35,2,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,3,303,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, travel_delay_only perturbations, and moderate delay severity.",planned
size_small_density_sparse_delay_travel_delay_only_severity_severe_policy_no_replanning_policy_v1_replication_01,size_small_density_sparse_delay_travel_delay_only_severity_severe,small,10,2,480,sparse,1,wide,travel_delay_only,yes,no,no,severe,60,3,no_replanning_policy_v1,baseline,implemented,1,101,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, travel_delay_only perturbations, and severe delay severity.",planned
size_small_density_sparse_delay_travel_delay_only_severity_severe_policy_no_replanning_policy_v1_replication_02,size_small_density_sparse_delay_travel_delay_only_severity_severe,small,10,2,480,sparse,1,wide,travel_delay_only,yes,no,no,severe,60,3,no_replanning_policy_v1,baseline,implemented,2,202,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, travel_delay_only perturbations, and severe delay severity.",planned
size_small_density_sparse_delay_travel_delay_only_severity_severe_policy_no_replanning_policy_v1_replication_03,size_small_density_sparse_delay_travel_delay_only_severity_severe,small,10,2,480,sparse,1,wide,travel_delay_only,yes,no,no,severe,60,3,no_replanning_policy_v1,baseline,implemented,3,303,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, travel_delay_only perturbations, and severe delay severity.",planned
size_small_density_sparse_delay_travel_delay_only_severity_severe_policy_threshold_delay_replanning_policy_v1_replication_01,size_small_density_sparse_delay_travel_delay_only_severity_severe,small,10,2,480,sparse,1,wide,travel_delay_only,yes,no,no,severe,60,3,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,1,101,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, travel_delay_only perturbations, and severe delay severity.",planned
size_small_density_sparse_delay_travel_delay_only_severity_severe_policy_threshold_delay_replanning_policy_v1_replication_02,size_small_density_sparse_delay_travel_delay_only_severity_severe,small,10,2,480,sparse,1,wide,travel_delay_only,yes,no,no,severe,60,3,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,2,202,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, travel_delay_only perturbations, and severe delay severity.",planned
size_small_density_sparse_delay_travel_delay_only_severity_severe_policy_threshold_delay_replanning_policy_v1_replication_03,size_small_density_sparse_delay_travel_delay_only_severity_severe,small,10,2,480,sparse,1,wide,travel_delay_only,yes,no,no,severe,60,3,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,3,303,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, travel_delay_only perturbations, and severe delay severity.",planned
size_small_density_sparse_delay_service_delay_only_severity_light_policy_no_replanning_policy_v1_replication_01,size_small_density_sparse_delay_service_delay_only_severity_light,small,10,2,480,sparse,1,wide,service_delay_only,no,yes,no,light,15,1,no_replanning_policy_v1,baseline,implemented,1,101,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, service_delay_only perturbations, and light delay severity.",planned
size_small_density_sparse_delay_service_delay_only_severity_light_policy_no_replanning_policy_v1_replication_02,size_small_density_sparse_delay_service_delay_only_severity_light,small,10,2,480,sparse,1,wide,service_delay_only,no,yes,no,light,15,1,no_replanning_policy_v1,baseline,implemented,2,202,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, service_delay_only perturbations, and light delay severity.",planned
size_small_density_sparse_delay_service_delay_only_severity_light_policy_no_replanning_policy_v1_replication_03,size_small_density_sparse_delay_service_delay_only_severity_light,small,10,2,480,sparse,1,wide,service_delay_only,no,yes,no,light,15,1,no_replanning_policy_v1,baseline,implemented,3,303,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, service_delay_only perturbations, and light delay severity.",planned
size_small_density_sparse_delay_service_delay_only_severity_light_policy_threshold_delay_replanning_policy_v1_replication_01,size_small_density_sparse_delay_service_delay_only_severity_light,small,10,2,480,sparse,1,wide,service_delay_only,no,yes,no,light,15,1,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,1,101,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, service_delay_only perturbations, and light delay severity.",planned
size_small_density_sparse_delay_service_delay_only_severity_light_policy_threshold_delay_replanning_policy_v1_replication_02,size_small_density_sparse_delay_service_delay_only_severity_light,small,10,2,480,sparse,1,wide,service_delay_only,no,yes,no,light,15,1,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,2,202,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, service_delay_only perturbations, and light delay severity.",planned
size_small_density_sparse_delay_service_delay_only_severity_light_policy_threshold_delay_replanning_policy_v1_replication_03,size_small_density_sparse_delay_service_delay_only_severity_light,small,10,2,480,sparse,1,wide,service_delay_only,no,yes,no,light,15,1,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,3,303,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, service_delay_only perturbations, and light delay severity.",planned
size_small_density_sparse_delay_service_delay_only_severity_moderate_policy_no_replanning_policy_v1_replication_01,size_small_density_sparse_delay_service_delay_only_severity_moderate,small,10,2,480,sparse,1,wide,service_delay_only,no,yes,no,moderate,35,2,no_replanning_policy_v1,baseline,implemented,1,101,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, service_delay_only perturbations, and moderate delay severity.",planned
size_small_density_sparse_delay_service_delay_only_severity_moderate_policy_no_replanning_policy_v1_replication_02,size_small_density_sparse_delay_service_delay_only_severity_moderate,small,10,2,480,sparse,1,wide,service_delay_only,no,yes,no,moderate,35,2,no_replanning_policy_v1,baseline,implemented,2,202,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, service_delay_only perturbations, and moderate delay severity.",planned
size_small_density_sparse_delay_service_delay_only_severity_moderate_policy_no_replanning_policy_v1_replication_03,size_small_density_sparse_delay_service_delay_only_severity_moderate,small,10,2,480,sparse,1,wide,service_delay_only,no,yes,no,moderate,35,2,no_replanning_policy_v1,baseline,implemented,3,303,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, service_delay_only perturbations, and moderate delay severity.",planned
size_small_density_sparse_delay_service_delay_only_severity_moderate_policy_threshold_delay_replanning_policy_v1_replication_01,size_small_density_sparse_delay_service_delay_only_severity_moderate,small,10,2,480,sparse,1,wide,service_delay_only,no,yes,no,moderate,35,2,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,1,101,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, service_delay_only perturbations, and moderate delay severity.",planned
size_small_density_sparse_delay_service_delay_only_severity_moderate_policy_threshold_delay_replanning_policy_v1_replication_02,size_small_density_sparse_delay_service_delay_only_severity_moderate,small,10,2,480,sparse,1,wide,service_delay_only,no,yes,no,moderate,35,2,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,2,202,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, service_delay_only perturbations, and moderate delay severity.",planned
size_small_density_sparse_delay_service_delay_only_severity_moderate_policy_threshold_delay_replanning_policy_v1_replication_03,size_small_density_sparse_delay_service_delay_only_severity_moderate,small,10,2,480,sparse,1,wide,service_delay_only,no,yes,no,moderate,35,2,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,3,303,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, service_delay_only perturbations, and moderate delay severity.",planned
size_small_density_sparse_delay_service_delay_only_severity_severe_policy_no_replanning_policy_v1_replication_01,size_small_density_sparse_delay_service_delay_only_severity_severe,small,10,2,480,sparse,1,wide,service_delay_only,no,yes,no,severe,60,3,no_replanning_policy_v1,baseline,implemented,1,101,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, service_delay_only perturbations, and severe delay severity.",planned
size_small_density_sparse_delay_service_delay_only_severity_severe_policy_no_replanning_policy_v1_replication_02,size_small_density_sparse_delay_service_delay_only_severity_severe,small,10,2,480,sparse,1,wide,service_delay_only,no,yes,no,severe,60,3,no_replanning_policy_v1,baseline,implemented,2,202,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, service_delay_only perturbations, and severe delay severity.",planned
size_small_density_sparse_delay_service_delay_only_severity_severe_policy_no_replanning_policy_v1_replication_03,size_small_density_sparse_delay_service_delay_only_severity_severe,small,10,2,480,sparse,1,wide,service_delay_only,no,yes,no,severe,60,3,no_replanning_policy_v1,baseline,implemented,3,303,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, service_delay_only perturbations, and severe delay severity.",planned
size_small_density_sparse_delay_service_delay_only_severity_severe_policy_threshold_delay_replanning_policy_v1_replication_01,size_small_density_sparse_delay_service_delay_only_severity_severe,small,10,2,480,sparse,1,wide,service_delay_only,no,yes,no,severe,60,3,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,1,101,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, service_delay_only perturbations, and severe delay severity.",planned
size_small_density_sparse_delay_service_delay_only_severity_severe_policy_threshold_delay_replanning_policy_v1_replication_02,size_small_density_sparse_delay_service_delay_only_severity_severe,small,10,2,480,sparse,1,wide,service_delay_only,no,yes,no,severe,60,3,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,2,202,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, service_delay_only perturbations, and severe delay severity.",planned
size_small_density_sparse_delay_service_delay_only_severity_severe_policy_threshold_delay_replanning_policy_v1_replication_03,size_small_density_sparse_delay_service_delay_only_severity_severe,small,10,2,480,sparse,1,wide,service_delay_only,no,yes,no,severe,60,3,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,3,303,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, service_delay_only perturbations, and severe delay severity.",planned
size_small_density_sparse_delay_combined_delay_severity_light_policy_no_replanning_policy_v1_replication_01,size_small_density_sparse_delay_combined_delay_severity_light,small,10,2,480,sparse,1,wide,combined_delay,yes,yes,no,light,15,1,no_replanning_policy_v1,baseline,implemented,1,101,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, combined_delay perturbations, and light delay severity.",planned
size_small_density_sparse_delay_combined_delay_severity_light_policy_no_replanning_policy_v1_replication_02,size_small_density_sparse_delay_combined_delay_severity_light,small,10,2,480,sparse,1,wide,combined_delay,yes,yes,no,light,15,1,no_replanning_policy_v1,baseline,implemented,2,202,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, combined_delay perturbations, and light delay severity.",planned
size_small_density_sparse_delay_combined_delay_severity_light_policy_no_replanning_policy_v1_replication_03,size_small_density_sparse_delay_combined_delay_severity_light,small,10,2,480,sparse,1,wide,combined_delay,yes,yes,no,light,15,1,no_replanning_policy_v1,baseline,implemented,3,303,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, combined_delay perturbations, and light delay severity.",planned
size_small_density_sparse_delay_combined_delay_severity_light_policy_threshold_delay_replanning_policy_v1_replication_01,size_small_density_sparse_delay_combined_delay_severity_light,small,10,2,480,sparse,1,wide,combined_delay,yes,yes,no,light,15,1,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,1,101,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, combined_delay perturbations, and light delay severity.",planned
size_small_density_sparse_delay_combined_delay_severity_light_policy_threshold_delay_replanning_policy_v1_replication_02,size_small_density_sparse_delay_combined_delay_severity_light,small,10,2,480,sparse,1,wide,combined_delay,yes,yes,no,light,15,1,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,2,202,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, combined_delay perturbations, and light delay severity.",planned
size_small_density_sparse_delay_combined_delay_severity_light_policy_threshold_delay_replanning_policy_v1_replication_03,size_small_density_sparse_delay_combined_delay_severity_light,small,10,2,480,sparse,1,wide,combined_delay,yes,yes,no,light,15,1,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,3,303,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, combined_delay perturbations, and light delay severity.",planned
size_small_density_sparse_delay_combined_delay_severity_moderate_policy_no_replanning_policy_v1_replication_01,size_small_density_sparse_delay_combined_delay_severity_moderate,small,10,2,480,sparse,1,wide,combined_delay,yes,yes,no,moderate,35,2,no_replanning_policy_v1,baseline,implemented,1,101,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, combined_delay perturbations, and moderate delay severity.",planned
size_small_density_sparse_delay_combined_delay_severity_moderate_policy_no_replanning_policy_v1_replication_02,size_small_density_sparse_delay_combined_delay_severity_moderate,small,10,2,480,sparse,1,wide,combined_delay,yes,yes,no,moderate,35,2,no_replanning_policy_v1,baseline,implemented,2,202,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, combined_delay perturbations, and moderate delay severity.",planned
size_small_density_sparse_delay_combined_delay_severity_moderate_policy_no_replanning_policy_v1_replication_03,size_small_density_sparse_delay_combined_delay_severity_moderate,small,10,2,480,sparse,1,wide,combined_delay,yes,yes,no,moderate,35,2,no_replanning_policy_v1,baseline,implemented,3,303,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, combined_delay perturbations, and moderate delay severity.",planned
size_small_density_sparse_delay_combined_delay_severity_moderate_policy_threshold_delay_replanning_policy_v1_replication_01,size_small_density_sparse_delay_combined_delay_severity_moderate,small,10,2,480,sparse,1,wide,combined_delay,yes,yes,no,moderate,35,2,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,1,101,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, combined_delay perturbations, and moderate delay severity.",planned
size_small_density_sparse_delay_combined_delay_severity_moderate_policy_threshold_delay_replanning_policy_v1_replication_02,size_small_density_sparse_delay_combined_delay_severity_moderate,small,10,2,480,sparse,1,wide,combined_delay,yes,yes,no,moderate,35,2,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,2,202,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, combined_delay perturbations, and moderate delay severity.",planned
size_small_density_sparse_delay_combined_delay_severity_moderate_policy_threshold_delay_replanning_policy_v1_replication_03,size_small_density_sparse_delay_combined_delay_severity_moderate,small,10,2,480,sparse,1,wide,combined_delay,yes,yes,no,moderate,35,2,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,3,303,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, combined_delay perturbations, and moderate delay severity.",planned
size_small_density_sparse_delay_combined_delay_severity_severe_policy_no_replanning_policy_v1_replication_01,size_small_density_sparse_delay_combined_delay_severity_severe,small,10,2,480,sparse,1,wide,combined_delay,yes,yes,no,severe,60,3,no_replanning_policy_v1,baseline,implemented,1,101,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, combined_delay perturbations, and severe delay severity.",planned
size_small_density_sparse_delay_combined_delay_severity_severe_policy_no_replanning_policy_v1_replication_02,size_small_density_sparse_delay_combined_delay_severity_severe,small,10,2,480,sparse,1,wide,combined_delay,yes,yes,no,severe,60,3,no_replanning_policy_v1,baseline,implemented,2,202,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, combined_delay perturbations, and severe delay severity.",planned
size_small_density_sparse_delay_combined_delay_severity_severe_policy_no_replanning_policy_v1_replication_03,size_small_density_sparse_delay_combined_delay_severity_severe,small,10,2,480,sparse,1,wide,combined_delay,yes,yes,no,severe,60,3,no_replanning_policy_v1,baseline,implemented,3,303,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, combined_delay perturbations, and severe delay severity.",planned
size_small_density_sparse_delay_combined_delay_severity_severe_policy_threshold_delay_replanning_policy_v1_replication_01,size_small_density_sparse_delay_combined_delay_severity_severe,small,10,2,480,sparse,1,wide,combined_delay,yes,yes,no,severe,60,3,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,1,101,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, combined_delay perturbations, and severe delay severity.",planned
size_small_density_sparse_delay_combined_delay_severity_severe_policy_threshold_delay_replanning_policy_v1_replication_02,size_small_density_sparse_delay_combined_delay_severity_severe,small,10,2,480,sparse,1,wide,combined_delay,yes,yes,no,severe,60,3,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,2,202,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, combined_delay perturbations, and severe delay severity.",planned
size_small_density_sparse_delay_combined_delay_severity_severe_policy_threshold_delay_replanning_policy_v1_replication_03,size_small_density_sparse_delay_combined_delay_severity_severe,small,10,2,480,sparse,1,wide,combined_delay,yes,yes,no,severe,60,3,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,3,303,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, combined_delay perturbations, and severe delay severity.",planned
size_small_density_sparse_delay_reassignment_opportunity_severity_light_policy_no_replanning_policy_v1_replication_01,size_small_density_sparse_delay_reassignment_opportunity_severity_light,small,10,2,480,sparse,1,wide,reassignment_opportunity,yes,yes,yes,light,15,1,no_replanning_policy_v1,baseline,implemented,1,101,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, reassignment_opportunity perturbations, and light delay severity.",planned
size_small_density_sparse_delay_reassignment_opportunity_severity_light_policy_no_replanning_policy_v1_replication_02,size_small_density_sparse_delay_reassignment_opportunity_severity_light,small,10,2,480,sparse,1,wide,reassignment_opportunity,yes,yes,yes,light,15,1,no_replanning_policy_v1,baseline,implemented,2,202,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, reassignment_opportunity perturbations, and light delay severity.",planned
size_small_density_sparse_delay_reassignment_opportunity_severity_light_policy_no_replanning_policy_v1_replication_03,size_small_density_sparse_delay_reassignment_opportunity_severity_light,small,10,2,480,sparse,1,wide,reassignment_opportunity,yes,yes,yes,light,15,1,no_replanning_policy_v1,baseline,implemented,3,303,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, reassignment_opportunity perturbations, and light delay severity.",planned
size_small_density_sparse_delay_reassignment_opportunity_severity_light_policy_threshold_delay_replanning_policy_v1_replication_01,size_small_density_sparse_delay_reassignment_opportunity_severity_light,small,10,2,480,sparse,1,wide,reassignment_opportunity,yes,yes,yes,light,15,1,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,1,101,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, reassignment_opportunity perturbations, and light delay severity.",planned
size_small_density_sparse_delay_reassignment_opportunity_severity_light_policy_threshold_delay_replanning_policy_v1_replication_02,size_small_density_sparse_delay_reassignment_opportunity_severity_light,small,10,2,480,sparse,1,wide,reassignment_opportunity,yes,yes,yes,light,15,1,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,2,202,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, reassignment_opportunity perturbations, and light delay severity.",planned
size_small_density_sparse_delay_reassignment_opportunity_severity_light_policy_threshold_delay_replanning_policy_v1_replication_03,size_small_density_sparse_delay_reassignment_opportunity_severity_light,small,10,2,480,sparse,1,wide,reassignment_opportunity,yes,yes,yes,light,15,1,threshold_delay_replanning_policy_v1,trigger_based_replanning,implemented,3,303,scenario_result_json; scenario_result_csv; policy_metric_summary; statistical_comparison_input,"Evaluate policy behavior for small instances, sparse demand density, reassignment_opportunity perturbations, and light delay severity.",planned
